,accuracy,precision,recall,f1_score
xgboost,0.790542938254081,0.9681403670783794,0.6535494428426712,0.7803312244138444
deep_neural_network,0.7817601135557133,0.9236534960916586,0.6721733032026805,0.778098502615912
random_forest,0.7762154009936125,0.9689306358381503,0.6269773240863399,0.7613190140511898
logistic_regression,0.7536816891412349,0.9174311926605505,0.6233928153978026,0.7423560525216907
